permutation,feature_name
0.32541922204150797,KRT19
0.6424278324972424,TGFBI
3.8853265193224833,FN1
1.4201273792026337,VIM
1.871561628930541,CD24P4
-0.8679914104283709,SPARC
1.0770972640493346,S100A16
0.13921379668762068,UCHL1
0.33268919926915125,SPINT2
0.8302815371708454,KRT7
5.787666474257297,C19orf33
-3.1131859983075403,KRT8
1.0481238979084768,PRSS23
1.4559445514922726,S100A4
0.8384539943301962,EPCAM
4.596944479917297,MGST1
0.6546363804622848,KRT18
0.02089491730772644,CLDN4
1.9183840426096124,IGFBP3
1.7979969800528885,CD44
-0.13268961884798566,SFN
-1.6974394071067367,IFITM1
1.0161234636633505,CRIP1
1.5077870097914667,ANXA1
1.5601496474957421,LGALS3
0.8762641431356891,ITGA3
-0.6500675758080159,CLU
3.5966269495023218,GPRC5A
1.6845602664146617,EEF1A2
-0.45426703395798906,CYBA
-0.9692885155407832,CAV1
-1.6100429998313182,S100A2
-0.563141210163695,CTSL
0.548099877968571,CCND1
1.734184128215075,THBS1
0.11198271819269827,IFITM3
2.6505960938682493,ARHGDIB
1.5264006583829326,FOS
-0.05224982771281204,S100A14
-0.09333773349249246,NGFRAP1
-0.2469536057569444,HSPA1A
-0.9390867739373238,BST2
-0.027813930117483485,GDF15
2.2538245522261215,AGR2
0.653201186682,FXYD3
1.1213187807029992,CAPG
1.50515477665732,TM4SF1
-0.7120692005606667,CNN3
0.4026940661939576,CTSZ
1.2065091259231326,EMP1
0.4843308966829932,LGALS1
-0.5855903984649176,CAV2
0.15858577911059082,S100A6
1.224245363469883,PLS3
1.0525422892407945,AKR1B1
0.12287514959066724,CD9
-0.7605398935594537,S100P
0.1640131931443314,IER3
-1.3601626015180726,CYR61
-0.3496106979886658,MSN
1.6456282849162824,PTRF
0.8338350519019435,PEG10
0.8197338029690148,MMP14
-0.4533520195827857,ALDH7A1
0.050620350058340265,WBP5
0.2675351619772724,CALD1
0.6265466925878908,LAMB1
1.229597570842648,TUBA1A
-1.0734685426572608,FOSL1
-0.24197743168905753,LAMB2
1.6875998689624263,MDK
-0.5165820197980382,SERPINE2
0.39626389668054207,TNFRSF12A
-0.03982819420833879,LGALS3BP
-0.44563706961103666,TUBB3
-0.4133859464959916,IFI16
-1.5214934237542734,TPD52L1
-1.4962929251056927,TNFAIP2
-2.756706425283101,SNURF
0.738328859684654,TIMP2
-0.7883099531247014,CD74
-0.6402656409941934,RAB34
0.27912952221101384,SERPINE1
-0.01745421256809182,TUBA4A
0.5816295143202016,SLPI
-1.1280372424168212,IFITM2
1.1067224212519808,PPAP2C
0.2113244501197444,H1F0
0.04766848861504718,FKBP10
2.71102464596216,CRIP2
0.7019288357724539,MYOF
2.7136756807615505,IGFBP4
0.6236700378055733,MEST
0.8053129257269396,MT1E
1.511653885609963,TPM2
0.0028829220040654355,ST14
1.505342793309759,TSTD1
6.637614553273267,IFI27
-0.35047557458988543,LSR
-0.24648356412584677,LAMA5
0.8170012942869005,CKB
0.29852657352097584,HLA-B
1.1829694410377636,S100A10
0.9245029489298014,CDH1
-1.4508743690981662,GLUL
-1.2275607237745585,ASS1
1.8468562408000497,MT2A
1.6756106737585628,IGFBP7
2.768632948269485,GPR56
0.6011832461738629,LCP1
0.5181300235697864,FABP5
0.12875380359026153,MYL9
0.12130207693192718,MAL2
-0.3865998407451749,NQO1
0.0473676619711447,FXYD5
-0.19387650477340054,ID1
0.24841386842422103,LAMC2
0.3722917734945632,OCIAD2
-0.031204497083134355,PDLIM1
1.0701657167960816,TINAGL1
-0.7672896913820156,GSTP1
0.3269358897045163,TGM2
-0.24103734842686228,ALDH1A3
0.03167453871423198,CLDN7
0.13079691788009923,TIMP1
-0.656760968634846,ELF3
1.1760692298932505,ID3
-0.03696407386951726,TPM1
0.4068868375433484,TNNT1
-0.3056962752006516,ID2
-2.3647794460521534,EPHA2
0.25139706597625394,PLK2
1.727240046518326,PFN2
-0.22110758326832297,MET
0.2720538288575576,MLPH
0.69120561936168,EPS8L2
-1.3799043500241728,COL4A2
-3.0336236182170824,DKK1
-0.5590988521362554,BASP1
0.27278082658032193,TSPAN1
1.1821672366540237,EMP3
0.22811433718255159,PTPRF
-0.17368978352319453,PSMB8
0.2514221348632458,AHNAK
2.2648172591720583,CDKN2A
0.22141467713397342,PTGR1
1.204058642219677,LTBR
-0.5086289153998664,TXNIP
-0.3494477502232186,ISG15
-0.292359627320975,LAPTM4B
0.43023223855453047,CLDN1
-0.07457993880082323,TUBB6
2.939402206458126,PLAU
2.431870054864154,AKR1C3
0.9516086829897645,SLC16A3
0.16653888350876264,RPL39L
-1.4591596362489803,FKBP9
-1.186642032982073,FSTL1
-0.2509708948973921,S100A11
-0.5239961431258848,IL32
0.2809344820744287,YAP1
1.0728794238129518,AMOTL2
0.8793914867879253,VAMP8
0.00048257607459356204,SPATS2L
1.42476512329613,CRIM1
-0.4959252569167346,FHL2
1.452478777865646,CBS
1.6397120275862003,FBLN1
-0.7945646404291739,ANXA3
1.0618929840887634,H2AFJ
-0.3598137349943582,FSCN1
0.7330957295251004,COL1A1
0.7916879856468564,JUP
0.07805824687094565,DMKN
0.411919416606967,TRAV23DV6
-0.058429308356308815,PHGDH
0.5702169035171513,WLS
0.5622387302319876,CTGF
0.029318063336995884,SERPINB6
2.81072360952884,DCBLD2
-0.46551042977384427,ENAH
0.24634568524739148,DUSP23
-0.9741393451737107,LOXL2
-0.22028030999759116,SERINC2
1.1978979632414242,ANXA6
0.7811214497797818,AL589743.1
-0.2290418860012509,SERPINB1
